0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,label
6131.0,441.1370829343796,1.8333333333333333,0.5496682804375113,0.39590778901360146,0.8693371144984048,143.0,112.72269570707071,0.8176339700140672,110.0,119.0,69.96322601010101,7.012889824014628,58.0,101.0,221.91966540404042,17.468867101713794,141.0,242.0,97.45892248974849,0.9412004069437012,0.9026627239454325,0.9823045417907069,0.009857177734375,0.009735107421875,0.0043792724609375,0.0052642822265625,0.005950927734375,0.0064544677734375,0.0061798095703125,0.0100250244140625,0.919097900390625,0.0230560302734375,0
6135.5,419.37972366809845,1.358695652173913,0.5335217391304348,0.43837417953919705,0.86088115616669,125.0,112.57876441775952,1.0651836467274691,109.0,118.0,70.0993837889082,6.689068576848527,55.0,108.0,182.4454100173803,12.854420163412975,117.0,202.0,56.53810129117043,0.9286308092362222,0.9026662001232616,0.9847963913123733,0.01190185546875,0.0110321044921875,0.00433349609375,0.00469970703125,0.004638671875,0.005157470703125,0.006011962890625,0.010223388671875,0.9188385009765625,0.023162841796875,0
5835.5,433.722869515419,2.5,0.6072320499479709,0.38981925989193805,0.8885420631899505,155.0,112.81613384131191,0.7979504726126738,110.0,116.0,70.06990226933908,6.694800818500395,58.0,105.0,230.00016564518802,16.897958372436403,151.0,252.0,99.09949939126045,0.931069575671847,0.9072584922526975,0.9824329318467737,0.0113372802734375,0.0102996826171875,0.004547119140625,0.0044403076171875,0.004608154296875,0.005523681640625,0.0058135986328125,0.009765625,0.921966552734375,0.021697998046875,0
5946.0,418.30865585803986,2.1343283582089554,0.6206032773196952,0.4270129698637215,0.8507654886249821,143.0,112.68729641693811,0.8216937620070895,109.0,116.0,70.41156351791531,7.0965075939494175,55.0,102.0,207.13094462540715,16.068231552708635,133.0,229.0,79.72057371764127,0.9308555133736583,0.9056800678747127,0.9828389145276654,0.0112762451171875,0.0107879638671875,0.0041656494140625,0.0042877197265625,0.00537109375,0.0056304931640625,0.005645751953125,0.0104522705078125,0.920562744140625,0.021820068359375,0
7974.0,483.2792184352875,2.5294117647058822,0.6817715458276333,0.4290321666495302,0.8910990668827178,172.0,112.62747011466212,0.7958398273276654,109.0,116.0,66.67272505489143,5.5728767720322745,55.0,99.0,230.41095389119297,10.451566382898406,150.0,249.0,104.20068104815505,0.9073642373373154,0.8741472390606561,0.9862353983831347,0.014984130859375,0.015472412109375,0.0057525634765625,0.0052642822265625,0.005706787109375,0.0067596435546875,0.007598876953125,0.0135650634765625,0.8955230712890625,0.0293731689453125,0
7376.5,466.3502860069275,3.423076923076923,0.7969425237683665,0.42622185597826634,0.9104542088373241,178.0,112.374127255961,0.6646580567303733,109.0,115.0,65.12409432222368,4.589586064505979,53.0,80.0,231.4065340534844,6.398498003244949,187.0,248.0,108.28621766067552,0.9147191402554075,0.8832435924649592,0.9850158109881573,0.01373291015625,0.0135040283203125,0.00555419921875,0.0054168701171875,0.0047454833984375,0.0068359375,0.007171630859375,0.012451171875,0.902435302734375,0.0281524658203125,0
1766.5,255.8406196832657,0.21929824561403508,0.6198245614035087,0.33914428974218697,0.9183779568494931,25.0,29.65643197458973,49.99757550686951,0.0,179.0,84.69031233456856,27.707767836350865,18.0,255.0,159.96823716251984,34.24671560940744,11.0,232.0,94.12124279123724,0.9736422802750729,0.9697214288880781,0.9095845514996815,0.00299072265625,0.0036163330078125,0.001708984375,0.0022735595703125,0.0030364990234375,0.00286865234375,0.001312255859375,0.002685546875,0.9742584228515625,0.0052490234375,0
1677.5,266.7523069381714,0.38392857142857145,0.3483181063122924,0.296248407787295,0.8856916578669483,43.0,34.406562847608456,58.3170241637753,0.0,179.0,80.00611790878754,29.001696593222245,12.0,255.0,138.9749721913237,26.346538397119772,32.0,207.0,65.4738364250946,0.974036452085071,0.9708663356154693,0.9136772801275465,0.0030975341796875,0.0032958984375,0.0018310546875,0.002105712890625,0.0029754638671875,0.002166748046875,0.001617431640625,0.0027008056640625,0.9751129150390625,0.005096435546875,0
1676.5,263.78174459934235,0.2956521739130435,0.42877237851662403,0.3027777443693087,0.8858652575957728,34.0,35.57119021134594,59.23106836117606,0.0,179.0,80.06395995550612,30.405249940072974,12.0,255.0,132.07119021134594,25.042287790505625,31.0,190.0,51.94683250833137,0.9746638069858166,0.9711277028688142,0.9242794466541427,0.003173828125,0.0032958984375,0.0015106201171875,0.001922607421875,0.0030059814453125,0.002288818359375,0.0014801025390625,0.002777099609375,0.975189208984375,0.0053558349609375,0
1681.0,265.6812393665314,0.35398230088495575,0.37190265486725665,0.2992649123095492,0.8824146981627297,40.0,35.96725860155383,59.551873824914544,0.0,179.0,79.47613762486127,28.38100412372613,12.0,255.0,143.992230854606,27.24413703723098,24.0,214.0,60.884055010894855,0.9746553873015499,0.9710920438646177,0.9255322307882395,0.003173828125,0.00341796875,0.00152587890625,0.001953125,0.0030059814453125,0.0022430419921875,0.0015716552734375,0.0027313232421875,0.975250244140625,0.005126953125,0
